node_id,node_type,label,handle,degree,total_comments
UCwEe1RKlEv1UpNWmWYfSh4w,author,@marioramirez299,/@marioramirez299,1,1
UCQtICyzWmhC5woCtbNgaSmg,author,@nestormendez6216,/@nestormendez6216,1,2
UCDlr1VadSucIZgZ171pRBjQ,author,@cuabatzjj5924,/@cuabatzjj5924,1,1
UCxKR3RA8T-kxMgq_2WWhRcQ,author,@elenaluarca9377,/@elenaluarca9377,1,1
UCJxJC56BSAX-ArD0NAb9qnQ,author,@alfonsowilian9157,/@alfonsowilian9157,1,1
UCqilIa8r7iek5sGYg_q6ofA,author,@rolandojuchuna484,/@rolandojuchuna484,1,1
UCyor0Mmm0ivLX2jIdyGp84Q,author,@MiguelJordan-n3g,/@MiguelJordan-n3g,1,1
UCpe5jW3MIqkgTJ-PgkzvM6Q,author,@carloslam5333,/@carloslam5333,1,1
UCz3gu01bmjNv0DpRq-K3XYg,author,@eusebiovasquez4385,/@eusebiovasquez4385,1,2
UCuXmOjxC-htcprLgeVXz6Tg,author,@jorgeaguilar-bq3uj,/@jorgeaguilar-bq3uj,1,1
UCySYJU5kUh7X8gVt9la2ISA,author,@dantesarti4351,/@dantesarti4351,1,1
UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,/@virgiliogarcia3039,2,3
UCPNXmbOBVeC4HS-xemvcPtQ,author,@BelkisRodriguezRamirez,/@BelkisRodriguezRamirez,1,1
UCtUR3_CAiE7fCoZHM6cMfyQ,author,@mdelcid01,/@mdelcid01,1,1
UCGj2v6Gl5bN8NSrzJMXS-CA,author,@juliogutierrez492,/@juliogutierrez492,1,1
UCbrtvygfRT6QXqWDNrOf-cA,author,@Alejandro00710,/@Alejandro00710,2,2
UCOh6DaZC_x9HASnlRylEMfw,author,@AndresMedina-v1s,/@AndresMedina-v1s,1,1
UCL1MT278vSaQ83ZDkVWn1gw,author,@elmorodriguez6978,/@elmorodriguez6978,1,1
UC8G5cJONY8L9voMyBW8Eoug,author,@luisparedes-pw6qt,/@luisparedes-pw6qt,1,1
UC7VUuJr9cGh845CmTvf7TlQ,author,@LuisCastillo-oz4df,/@LuisCastillo-oz4df,1,1
UCFhxtoeARHPnXXPcDrOU3Xg,author,@diegoalejandrolopezmendez205,/@diegoalejandrolopezmendez205,1,1
UCAlzM_N6xBlMYmM8EBzX86Q,author,@carlossoto3252,/@carlossoto3252,1,1
UClqA491Xa5fQcXcJJa-vTWw,author,@AndresLemus-k2d,/@AndresLemus-k2d,1,1
UCvDwJBBY1mHK70aTEYl6rsA,author,@cristianescobedo8296,/@cristianescobedo8296,1,1
UCWWkebAekppaL5b5CNlppuw,author,@ninettmartinez425,/@ninettmartinez425,1,1
UCjmPuazZJzscrwvk0QR9RVw,author,@mynorrodas8591,/@mynorrodas8591,1,1
UCipetjeiWj4CZB6EbyYziZg,author,@OseasSamayoa-ol5rz,/@OseasSamayoa-ol5rz,1,1
UCZIQnb1fkwe39Iw2TAu-bGA,author,@jorgegomez2237,/@jorgegomez2237,1,1
UCTP3O0rMnc8z8v8jaDQwL0w,author,@RobertoZelaya-x1v,/@RobertoZelaya-x1v,1,1
UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,/@moisesvaldez4043,2,2
UC3UVO7pTbeYvZ3ILEyRDskQ,author,@rosaelenaargueta79,/@rosaelenaargueta79,1,1
UCuP4UK33HKtJE_S39ksmaTw,author,@herbertaguilar1387,/@herbertaguilar1387,1,1
UClsrFGJKWPxxw7MiaEdKLXw,author,@ericapaz5406,/@ericapaz5406,1,1
UCg3eIfd7BrsLEqS0BLkftHA,author,@ErmePérez-q4s,/@ErmeP%C3%A9rez-q4s,1,3
UCq3mDTTRZnUybct5M9OSXbg,author,@MacoMorales-i2i2d,/@MacoMorales-i2i2d,1,1
UCGzXwyCzMzGmjmCbH3Hg01Q,author,@FidelZacarias-ph7dy,/@FidelZacarias-ph7dy,1,1
UC0HvfEWozTHbwl_iEmJNvVA,author,@OttoPalencia-b7r,/@OttoPalencia-b7r,1,1
UC14qlobYKqD-DO0j6b75lcA,author,@megavision4488,/@megavision4488,1,1
UCiGRBf2RNF0WRKhRVT7zFoA,author,@edwinavila4876,/@edwinavila4876,1,1
UCa36MjQLoPAmgJo-R3G8WQA,author,@elsasalguero6914,/@elsasalguero6914,1,1
UC3YpzAr7pcdKC7BVFEpYzog,author,@carmenfigueroa1232,/@carmenfigueroa1232,1,1
UCQqlPPUGqAfWjd-FSh_qn7Q,author,@estuardoargueta137,/@estuardoargueta137,1,1
UC8r11yOugM2NuRfitQOxLLg,author,@cesaraugustomoralesmonroy6907,/@cesaraugustomoralesmonroy6907,1,1
UCusjriFsDHEc2AOjqk-p5ig,author,@pablobarrios7931,/@pablobarrios7931,1,1
UC5fvhAfm89JH8eDFdvc0xYw,author,@isaidiaz2388,/@isaidiaz2388,1,1
UCAV7QIjYhbDJaycQycM_0eQ,author,@mariavail8998,/@mariavail8998,1,1
UC3E9mAgP7VoAE5mZoAexl5g,author,@EnnioAroche,/@EnnioAroche,1,1
UCB5p8a5gklc80jJItP6xTHg,author,@ernestogamboa8737,/@ernestogamboa8737,1,1
UC1NiEdJ7gk6FlDexIalWnGg,author,@BorisTebalán,/@BorisTebal%C3%A1n,1,1
UCdQAuWwyC99MB7Y02Umj26Q,author,@miguelbran1268,/@miguelbran1268,1,1
UCtowGNY2lnlg6O2CkwDgkLg,author,@taniagabrielacelis8434,/@taniagabrielacelis8434,1,1
UCp_dAUfv8i3LW3zWc24dLaQ,author,@MarioCortez-o6v,/@MarioCortez-o6v,1,1
UC_NRVt2UP88ZNTwzrZ66JSg,author,@aditalissethevasquezrojas8039,/@aditalissethevasquezrojas8039,1,1
UCylqlpsh8ENNM1LqgQ1KbxA,author,@Jel.Awesh.M,/@Jel.Awesh.M,2,3
UCRvPToDkkumha7WJAfCDk1A,author,@ligiaguerra3057,/@ligiaguerra3057,1,1
UCPZueDLrCS4BmTBRMA4q0fA,author,@kevinochoa3695,/@kevinochoa3695,1,1
UCHMQ_lDhibZ-XZ_3fo6oxwg,author,@crislexrubi4387,/@crislexrubi4387,1,1
UC7dadZG7kkGYnsNu6td0FbA,author,@lesolorzano,/@lesolorzano,1,1
UCrJn_rbo_ENAdeqneS-RmRw,author,@josecarrera9623,/@josecarrera9623,1,2
UCFFrEmn6lPYiWyElpfzTy5Q,author,@denilsonlopez4083,/@denilsonlopez4083,1,1
UCNiMNUJvaRJb0_QLClqwVnA,author,@Santiago.Nolasco,/@Santiago.Nolasco,1,1
UCs_5qeqdku9tGAq22y3OcuQ,author,@alexandrevasquez4135,/@alexandrevasquez4135,1,1
UCCBYcToQ2dwkd6TJh0FSyDg,author,@lidiarodriguez3493,/@lidiarodriguez3493,1,1
UCxcoDvP-g2_KTZDmVZtvb3w,author,@angelmartinez9523,/@angelmartinez9523,1,1
UCW-JC6lebVmf2P1dmY_L94g,author,@dinoraoroxon5771,/@dinoraoroxon5771,1,1
UCgJNFj5dnxXpcMvmuhZDPxA,author,@NataliaRodriguez-rx5mr,/@NataliaRodriguez-rx5mr,1,1
UCFoIAE8k82D6AV-8gjjKaNg,author,@eddymunoz9789,/@eddymunoz9789,1,1
UCe8JZoYkX5oKUZyivHYdXhw,author,@FernandoGarcia-jg1fj,/@FernandoGarcia-jg1fj,1,1
UCnU8wO1OurAmGstDw6VGjgQ,author,@cmorera21,/@cmorera21,1,1
UCf5lnNZF7Qrtli9v4N_23WQ,author,@CarlosCortez-v5r,/@CarlosCortez-v5r,1,1
UCW80DaMjQlEUibC98Cot-Dg,author,@rogeraldana4289,/@rogeraldana4289,1,1
UCDrmf9y9nLgFY5wnA2hTuGA,author,@laboratorio5528,/@laboratorio5528,1,1
UCTD6q1nyIe3Y7HhqjaMj72w,author,@JuanChang-r6k,/@JuanChang-r6k,1,1
UC0aEyakBPqcBkVJiErfSupQ,author,@jhonymanuel9891,/@jhonymanuel9891,1,1
UC650pRT-OYzny3GwOH8Cgfw,author,@edvinparedesherrera7632,/@edvinparedesherrera7632,1,1
UCWoAVGVqCn4xtINCMOTM4jg,author,@OmarMartinez-vv8re,/@OmarMartinez-vv8re,1,1
UCDPWkUX3sNNaCx-m1dV4glA,author,@hectoroliva949,/@hectoroliva949,1,1
UCsGoJEvb-cFPZ2rWoJcXzEQ,author,@sergiohinestroza9709,/@sergiohinestroza9709,1,1
UCXXh7yg5KUFIWylTiKVEFKQ,author,@MrDuenderojo,/@MrDuenderojo,1,2
UCfM3nrxtTQMY5jFx1v1J4Gg,author,@edgarroldan5539,/@edgarroldan5539,1,1
UCp4iw5_5SmV9VGTFSNVGOmQ,author,@CARLOSSTREMS51,/@CARLOSSTREMS51,1,1
UCIp19h9igblA2YKfSLPDAug,author,@JoseReyes-rn6sh,/@JoseReyes-rn6sh,1,1
UCwha8rxULYMVtNwZWeSkE1A,author,@mariasamo8637,/@mariasamo8637,1,1
UCHbwIx9pmQuf7i-4_xO2EpA,author,@caminoseternos752,/@caminoseternos752,1,1
UCu8_3-Wg-YzNyvHYQDEscfw,author,@RolandoCastroPérez-d7y,/@RolandoCastroP%C3%A9rez-d7y,1,1
UCIgoiXdIKJyUGmUoH2Lxdzg,author,@susievidal4134,/@susievidal4134,1,1
UCXN2s7DwTJm33xO-pNkAdaA,author,@edithsan7688,/@edithsan7688,1,1
UCgLrWFdYitoP-b7-PxtUr-w,author,@zetag,/@zetag,1,1
UCAKuKvcbfnBD3kF5njNu-IA,author,@melvinlopez7096,/@melvinlopez7096,1,1
UCFxE8GbokBrBsPEKM1xrOjQ,author,@JuanDavila-qd7qj,/@JuanDavila-qd7qj,1,1
UCk4O-J1BhoqPmig1KLGJePA,author,@lazarobarillas3575,/@lazarobarillas3575,1,1
UCUoYsrx1oZnCZ0usbBJn4fA,author,@AnaDiaz-re9sq,/@AnaDiaz-re9sq,1,1
UCHu8x4MVkayU6VgwVKd--MQ,author,@Hernandez-i1o,/@Hernandez-i1o,1,1
UC-jS_kA9w-OmpupXDx156Rg,author,@simoncreyesc7579,/@simoncreyesc7579,1,1
UChT7pzGytNd92Nmvi-zuWog,author,@sparkvalkov,/@sparkvalkov,1,1
UChZknRmJkeGeQk0-mQuhDOg,author,@OdilioRodríguez-c5w,/@OdilioRodr%C3%ADguez-c5w,1,1
